;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
19;из них:                         английского языка;99096;94104;90507;4;508;2;38;3819;3526;44;20686;33585;95097;
20;немецкого языка;12093;11215;10918;;44;;4;691;636;5;3137;4698;11738;
21;французского языка;3017;2982;2924;;32;;4;20;16;;1300;922;2935;
22;физической культуры;77458;61370;58532;5;110;3;13;14975;13818;208;19360;27245;34454;
23;трудового обучения (технологии);44535;32114;27690;1;61;1;4;11049;7534;693;10695;15773;27921;
24;музыки и пения;20743;13316;12171;2;71;2;8;7065;6036;69;5983;7029;19015;
25;изобразительного искусства, черчения;16506;12223;11003;;36;;4;4015;3374;65;4826;5438;15242;
26;основ безопасности жизнедеятельности;12917;10943;8954;;53;;10;1729;1283;72;2919;4227;3202;
27;прочих предметов;12955;10579;9667;1;69;;18;2073;1679;42;2545;3410;11528;
28;учителя-логопеды;13691;13396;12985;;43;;5;245;208;8;3888;4400;13619;12440.97
29;учителя-дефектологи;3651;3507;3371;;12;;1;118;99;1;1074;1024;3579;3441.79
30;из них:                   олигофренопедагог;849;792;776;;;;;35;33;1;182;269;813;937.3
31;тифлопедагог;202;196;193;;;;;2;2;;69;62;193;206.2
32;сурдопедагог;444;441;439;;3;;;3;3;;226;105;442;442.6
33;социальные педагоги;17924;14845;12938;;39;;1;2740;2118;79;2151;4925;17105;14468.09
34;педагоги дополнительного образования;22107;16053;11932;3;125;5;11;5057;3089;256;4059;4484;16265;18855.69
35;педагоги-психологи;23771;23066;21360;5;199;1;18;529;431;11;4595;6370;22790;19464.03
36;воспитатели;112059;62515;56754;5;57;;12;46047;41468;1004;12505;37833;108138;95807.68
37;мастера производственного обучения;1219;559;354;;3;;;442;136;130;114;208;307;973.32
38;тьюторы;2296;1924;1664;;17;;4;311;229;15;164;203;2047;2198.69
39;другие;42518;31222;25184;21;305;15;51;9564;6613;440;5386;9526;35613;36971.37
40;учебно-вспомогательный персонал;139980;48729;13604;3;81;4;9;48977;6267;18395;693;1812;123796;
41;иной персонал;528587;37527;6481;2;43;;6;147700;4338;150518;332;647;373542;
42;из них:             ассистент (помощник);392;57;22;;;;;118;30;57;2;2;329;607
43;сурдопереводчик;10;2;1;;;;;3;;1;;;10;126
44;тифлосурдопереводчик;;;;;;;;;;;;;;93.8
45;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;81574;45318;41372;;41;;3;32597;29376;609;11271;27165;80715;
46;из них воспитатели;66215;33132;30113;;15;;2;29624;26628;526;7252;22198;65909;
47;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;6004;5538;5274;;14;;1;221;169;3;1361;2116;5069;
48;из них учителя;5565;5141;4902;;14;;1;182;149;3;1245;1964;4690;
49;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;54736;43881;41802;1;56;;9;7008;6015;144;11597;17834;42448;
50;из них учителя - всего;39806;32829;31405;1;40;;4;4231;3677;80;8814;13070;29514;
51;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;9773;7471;7192;;;;;1498;1418;12;1997;3111;7805;
52;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;56165;45436;43219;;71;;5;6201;5546;74;11417;17761;41218;
53;Из общей численности учителей-дефектологов (стр.29 гр.3) - учителя, имеющие специальное дефектологическое образование;2409;2188;;;;;;;;;;;;
54;Справка 2. Численность руководителей (из стр.02), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку (чел);95435;;;;;;;;;;;;;
55;из них директор (чел);30703;;;;;;;;;;;;;
56;Численность педагогических работников (из стр.06), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку (чел);932613;;;;;;;;;;;;;
57;из них учителя (чел);717971;;;;;;;;;;;;;
58;Кроме того (кроме стр.01), численность медицинских работников (сумма строк 60,61) (чел);11840;;;;;;;;;;;;;
59;из них женщин (чел);9624;;;;;;;;;;;;;
60;в том числе:          врачи всех специальностей (чел);2043;;;;;;;;;;;;;
61;медицинские сестры (чел);9797;;;;;;;;;;;;;
62;Из строки 07 гр.3 численность учителей, использующих в учебном процессе персональные компьютеры (чел);831157;;;;;;;;;;;;;
