;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
24;музыки и пения;20914;13185;11890;1;59;3;8;7179;5980;114;5741;7173;18299;
25;изобразительного искусства, черчения;16903;12316;10886;2;32;;3;4219;3468;102;4735;5673;14908;
26;основ безопасности жизнедеятельности;13543;11343;8912;5;56;1;14;1872;1284;100;2887;4477;3158;
27;прочих предметов;12268;10072;9148;11;65;10;17;1908;1530;53;2360;3346;10281;
28;учителя-логопеды;13025;12741;12471;;33;;4;225;202;7;3698;4448;12540;
29;учителя-дефектологи;3301;3175;3082;7;6;;;104;92;6;1045;981;3128;
30;из них:                   олигофренопедагог;857;807;796;;;;;37;30;;211;311;784;
31;тифлопедагог;211;206;196;;;;;2;2;;69;65;180;
32;сурдопедагог;462;458;457;6;2;;;3;3;;235;107;438;
33;социальные педагоги;17845;14646;12677;4;18;1;1;2732;2074;122;1985;4929;16046;
34;педагоги дополнительного образования;22117;16016;11890;4;103;2;13;4951;2988;341;4005;4573;15643;
35;педагоги-психологи;22936;22204;20558;6;207;1;24;534;422;19;4273;6316;20850;
36;воспитатели;114102;62716;56712;10;51;;9;46593;41647;1533;11797;37940;105266;
37;мастера производственного обучения;1411;634;365;;1;;;496;144;182;124;268;311;
38;тьюторы;1710;1436;1230;1;15;;1;225;177;16;153;165;1428;
39;другие;39240;28236;22748;21;248;7;32;8812;5926;643;4913;8768;31154;
40;учебно-вспомогательный персонал;140915;49557;14071;6;92;2;9;47464;6669;19398;907;2253;115847;
41;иной персонал;526004;35874;6280;2;33;1;3;139858;4237;151727;463;819;338475;
42;из них:             ассистент (помощник);435;39;14;;;;;122;25;114;;;336;
43;сурдопереводчик;11;3;1;;;;;5;1;2;;;7;
44;тифлосурдопереводчик;;;;;;;;;;;;;;
45;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;80967;44456;40873;;32;;1;32555;29335;952;10293;26791;76466;
46;из них воспитатели;65537;32225;29476;;9;;;29762;26954;847;6705;22209;61613;
47;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;6798;6215;5804;;18;;1;242;186;4;1336;2254;5029;
48;из них учителя;6359;5800;5464;;16;;1;204;166;4;1225;2064;4523;
49;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;56140;44747;42350;;79;;5;7263;6210;194;11458;19083;44207;
50;из них учителя - всего;41179;33628;32017;;56;;5;4364;3727;92;8842;14069;31225;
51;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;10162;7746;7487;;2;;;1559;1487;7;1920;3423;8191;
52;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;55581;44951;42748;;73;;5;6197;5575;135;11197;18243;42432;
53;Из общей численности учителей-дефектологов (стр.29 гр.3) - учителя, имеющие специальное дефектологическое образование;2296;2065;;;;;;;;;;;;
54;Справка 2. Численность руководителей (из стр.02), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку (чел);94391;;;;;;;;;;;;;
55;из них директор (чел);30881;;;;;;;;;;;;;
56;Численность педагогических работников (из стр.06), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку (чел);884810;;;;;;;;;;;;;
57;из них учителя (чел);708049;;;;;;;;;;;;;
58;Кроме того (кроме стр.01), численность медицинских работников (сумма строк 60,61) (чел);12629;;;;;;;;;;;;;
59;из них женщин (чел);10897;;;;;;;;;;;;;
60;в том числе:          врачи всех специальностей (чел);2478;;;;;;;;;;;;;
61;медицинские сестры (чел);10141;;;;;;;;;;;;;
62;Из строки 07 гр.3 численность учителей, использующих в учебном процессе персональные компьютеры (чел);798278;;;;;;;;;;;;;
